id,task,response,guessing,guessing_text,strategy,strategy_text,rt
participant_1,north-east_south-east,south-west,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,8523
participant_1,west_east,north-west,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,6789
participant_1,south-east_east,south,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,8821
participant_1,west_north,north-west,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,5692
participant_1,north_south-west,south-east,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,5549
participant_1,south_east,north-east,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,14413
participant_1,north-west_south-west,south-east,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,8971
participant_1,north-west_south-east,south,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,28539
participant_1,north_south-east,north-east,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,4610
participant_1,north-east_north-west,north,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,8314
participant_1,north_north-east,north-east,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,25776
participant_1,south-west_west,west,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,7027
participant_10,south_south,south,no,,spatial,,11567
participant_10,south-west_east,nvc,no,,spatial,,59668
participant_10,north_north-east,east,no,,spatial,,13460
participant_10,south-west_west,nvc,no,,spatial,,13128
participant_10,north-west_south-west,east,no,,spatial,,39525
participant_10,west_west,east,no,,spatial,,21638
participant_10,north-west_south-east,north-west,no,,spatial,,37820
participant_10,east_north-east,south,no,,spatial,,14372
participant_10,north-east_south-west,north-east,no,,spatial,,16503
participant_10,north-west_north-east,south,no,,spatial,,38201
participant_10,south-west_south,nvc,no,,spatial,,22897
participant_10,south-west_north,east,no,,spatial,,28976
participant_10,south-east_east,south,no,,spatial,,13214
participant_10,east_south-west,nvc,no,,spatial,,31198
participant_10,south_north,south,no,,spatial,,28515
participant_10,south_east,south-west,no,,spatial,,75774
participant_10,west_east,west,no,,spatial,,74547
participant_10,west_north,south-east,no,,spatial,,46964
participant_10,east_south-east,north-west,no,,spatial,,340701
participant_10,north-west_north-west,south-east,no,,spatial,,237814
participant_10,north_south-east,west,no,,spatial,,42575
participant_10,east_north-west,south,no,,spatial,,27852
participant_10,south-east_north,south-east,no,,spatial,,181874
participant_10,north_north-west,east,no,,spatial,,34599
participant_10,west_south,north-east,no,,spatial,,37540
participant_10,north_south-west,east,no,,spatial,,36176
participant_10,north-east_south-east,west,no,,spatial,,205615
participant_10,north-east_north-east,nvc,no,,spatial,,34717
participant_10,south_west,north-east,no,,spatial,,33113
participant_10,south-east_west,north,no,,spatial,,18852
participant_10,north-east_north-west,south,no,,spatial,,133673
participant_10,south-east_south,west,no,,spatial,,104534
participant_100,north_north-east,north,no,,spatial,,1611
participant_100,north-west_south-east,north-east,no,,spatial,,1404
participant_100,south-east_west,south,no,,spatial,,3548
participant_100,south-west_north,north,no,,spatial,,1482
participant_100,south_north,south,no,,spatial,,2900
participant_100,west_west,east,no,,spatial,,1836
participant_100,south-east_north,north-east,no,,spatial,,1765
participant_100,east_south-east,north,no,,spatial,,2813
participant_100,north-east_south-west,north,no,,spatial,,4017
participant_100,east_north-east,north,no,,spatial,,1574
participant_100,east_south-west,north,no,,spatial,,2048
participant_100,west_east,north,no,,spatial,,1914
participant_100,south_west,north,no,,spatial,,2352
participant_100,north-east_north-west,south,no,,spatial,,1412
participant_100,south_east,north,no,,spatial,,1668
participant_100,north-west_south-west,north,no,,spatial,,1606
participant_100,south-east_east,north,no,,spatial,,1830
participant_100,south-west_south,north,no,,spatial,,1861
participant_100,north_south-west,west,no,,spatial,,1680
participant_100,north_north-west,north,no,,spatial,,12281
participant_100,west_south,east,no,,spatial,,13061
participant_100,west_north,north-west,no,,spatial,,26456
participant_100,north_south-east,north,no,,spatial,,2349
participant_100,south-west_west,south-east,no,,spatial,,2290
participant_100,north-west_north-east,north,no,,spatial,,2732
participant_100,south-west_east,south,no,,spatial,,1685
participant_100,north-east_north-east,north-east,no,,spatial,,1552
participant_100,south_south,north,no,,spatial,,1358
participant_100,north-east_south-east,south,no,,spatial,,3288
participant_100,south-east_south,north,no,,spatial,,1635
participant_100,east_north-west,north,no,,spatial,,6040
participant_100,north-west_north-west,north,no,,spatial,,2056
participant_101,south_east,north,no,,verbal,,5123
participant_101,north-west_north-east,south-west,no,,verbal,,1856
participant_101,north-east_north-west,nvc,no,,verbal,,1411
participant_101,west_south,north,no,,verbal,,30979
participant_101,south-west_south,north-east,no,,verbal,,2772
participant_101,east_south-east,north-east,no,,verbal,,4840
participant_101,north-east_south-east,north-west,no,,verbal,,16523
participant_101,south_west,south-east,no,,verbal,,2994
participant_101,north-west_south-east,nvc,no,,verbal,,1753
participant_101,south-west_east,west,no,,verbal,,20080
participant_101,north-west_north-west,south-east,no,,verbal,,3431
participant_101,north_south-east,south-east,no,,verbal,,3254
participant_101,south-east_south,south-east,no,,verbal,,1692
participant_101,south-east_north,nvc,no,,verbal,,1717
participant_101,south-west_north,south,no,,verbal,,5043
participant_101,north-east_north-east,south-east,no,,verbal,,2791
participant_101,north-east_south-west,north-east,no,,verbal,,2444
participant_101,west_west,north-east,no,,verbal,,3556
participant_101,south_south,north,no,,verbal,,86166
participant_101,south_north,east,no,,verbal,,36455
participant_101,east_north-west,south-east,no,,verbal,,39746
participant_101,west_north,south,no,,verbal,,42630
participant_101,north_north-east,south-east,no,,verbal,,17909
participant_101,north-west_south-west,south,no,,verbal,,12726
participant_101,east_south-west,north-east,no,,verbal,,102959
participant_101,south-east_west,north-east,no,,verbal,,26003
participant_101,south-east_east,south-east,no,,verbal,,3543
participant_101,east_north-east,south-east,no,,verbal,,2038
participant_101,north_north-west,south-east,no,,verbal,,17386
participant_101,south-west_west,north-west,no,,verbal,,9763
participant_101,west_east,west,no,,verbal,,19980
participant_101,north_south-west,north-east,no,,verbal,,5003
participant_102,north_north-east,south-east,no,,spatial,,17391
participant_102,south_west,north-east,no,,spatial,,32878
participant_102,south_north,south-east,no,,spatial,,10673
participant_102,south_east,west,no,,spatial,,4956
participant_102,south-east_south,north-west,no,,spatial,,5751
participant_102,south-east_west,north,no,,spatial,,14263
participant_102,south-west_east,north-east,no,,spatial,,10150
participant_102,east_south-west,north-east,no,,spatial,,9615
participant_102,south_south,north,no,,spatial,,9383
participant_102,north-east_south-west,east,no,,spatial,,8711
participant_102,north_south-west,west,no,,spatial,,3151
participant_102,west_west,east,no,,spatial,,7577
participant_102,north_south-east,south,no,,spatial,,7158
participant_102,west_east,north,no,,spatial,,15481
participant_102,north-east_south-east,west,no,,spatial,,5889
participant_102,north-west_north-east,east,no,,spatial,,5509
participant_102,south-west_north,north,no,,spatial,,40667
participant_102,west_north,south-east,no,,spatial,,5670
participant_102,south-east_east,south-east,no,,spatial,,7541
participant_102,north_north-west,north-east,no,,spatial,,72673
participant_102,north-west_north-west,south,no,,spatial,,43900
participant_102,south-west_south,north-east,no,,spatial,,8112
participant_102,north-east_north-west,south,no,,spatial,,7079
participant_102,south-east_north,south-west,no,,spatial,,34616
participant_102,north-east_north-east,south-west,no,,spatial,,15984
participant_102,east_south-east,north,no,,spatial,,5490
participant_102,north-west_south-west,east,no,,spatial,,11985
participant_102,north-west_south-east,west,no,,spatial,,13252
participant_102,east_north-east,south,no,,spatial,,7796
participant_102,south-west_west,east,no,,spatial,,30027
participant_102,west_south,north,no,,spatial,,5755
participant_102,east_north-west,south,no,,spatial,,8109
participant_103,north-east_south-east,south-east,no,,verbal,,1166
participant_103,west_south,north-east,no,,verbal,,1263
participant_103,south_east,south,no,,verbal,,1301
participant_103,north-east_north-west,north-east,no,,verbal,,1293
participant_103,south_north,south-east,no,,verbal,,999
participant_103,north-west_south-east,north-east,no,,verbal,,2822
participant_103,north-west_north-east,north-east,no,,verbal,,1027
participant_103,west_west,south-east,no,,verbal,,1051
participant_103,east_south-east,north-east,no,,verbal,,1597
participant_103,south_south,south-east,no,,verbal,,1196
participant_103,north-east_south-west,north-east,no,,verbal,,1426
participant_103,west_north,north,no,,verbal,,1684
participant_103,north_south-west,south-east,no,,verbal,,1627
participant_103,north-east_north-east,north-east,no,,verbal,,1989
participant_103,south-west_north,south-east,no,,verbal,,1127
participant_103,west_east,north-east,no,,verbal,,1386
participant_103,south-west_south,south,no,,verbal,,4212
participant_103,south-east_north,north-east,no,,verbal,,1036
participant_103,north_south-east,south-east,no,,verbal,,1359
participant_103,south-east_west,north-east,no,,verbal,,3789
participant_103,north-west_north-west,north-east,no,,verbal,,2952
participant_103,north_north-east,north-east,no,,verbal,,2134
participant_103,south-east_south,south,no,,verbal,,1629
participant_103,south-west_west,south,no,,verbal,,1991
participant_103,south-east_east,south,no,,verbal,,2507
participant_103,north_north-west,north,no,,verbal,,1573
participant_103,south_west,north,no,,verbal,,1362
participant_103,east_north-west,north,no,,verbal,,1247
participant_103,north-west_south-west,north,no,,verbal,,1308
participant_103,east_south-west,south,no,,verbal,,1461
participant_103,east_north-east,north,no,,verbal,,1157
participant_103,south-west_east,south,no,,verbal,,2892
participant_104,north-west_south-west,north-east,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,6037
participant_104,south-east_north,north-west,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,17067
participant_104,south_east,south-east,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,13837
participant_104,east_south-east,north,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,12658
participant_104,north_north-west,north-east,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,13994
participant_104,north-east_south-west,west,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,10731
participant_104,south_south,north-west,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,7559
participant_104,east_south-west,south-east,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,11828
participant_104,west_south,north,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,6466
participant_104,north-west_north-west,south,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,23530
participant_104,west_west,south,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,13759
participant_104,south-east_west,north-west,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,17382
participant_104,north_north-east,north-east,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,10757
participant_104,north-east_south-east,south-west,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,17234
participant_104,south-east_south,north-east,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,15558
participant_104,south_north,north-east,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,12484
participant_104,north-west_south-east,nvc,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,4482
participant_104,south-west_south,north-east,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,14661
participant_104,north-east_north-east,north-west,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,45818
participant_104,north-east_north-west,south-west,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,7972
participant_104,west_east,north,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,11810
participant_104,east_north-east,nvc,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,63078
participant_104,south_west,south,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,16178
participant_104,south-west_west,north-west,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,11496
participant_104,south-west_north,south-west,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,5513
participant_104,north-west_north-east,east,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,12160
participant_104,south-west_east,west,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,15670
participant_104,east_north-west,south,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,22219
participant_104,north_south-east,south-east,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,24035
participant_104,west_north,south-west,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,17225
participant_104,north_south-west,nvc,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,7351
participant_104,south-east_east,west,yes,"I have always struggled with geographical locations, as such, I was not able to imagine ""North-east"". I gave it my best and in some of them, I had to guess.",spatial,,11164
participant_106,south-east_west,nvc,no,,spatial,,8972
participant_106,north-west_north-east,south-east,no,,spatial,,9405
participant_106,west_north,south-east,no,,spatial,,9901
participant_106,north_south-west,nvc,no,,spatial,,8793
participant_106,south-west_south,nvc,no,,spatial,,3820
participant_106,east_south-west,north-east,no,,spatial,,3089
participant_106,east_south-east,west,no,,spatial,,6070
participant_106,north_north-east,south-west,no,,spatial,,4396
participant_106,north-west_south-east,south-west,no,,spatial,,5292
participant_106,south-east_north,south-east,no,,spatial,,3671
participant_106,south-west_east,north-west,no,,spatial,,7864
participant_106,north-west_south-west,nvc,no,,spatial,,5448
participant_106,south_south,north,no,,spatial,,34225
participant_106,south-east_south,north-west,no,,spatial,,3274
participant_106,north-east_north-east,south-west,no,,spatial,,6936
participant_106,north-east_north-west,south,no,,spatial,,6653
participant_106,west_west,west,no,,spatial,,30582
participant_106,west_east,west,no,,spatial,,8370
participant_106,north_south-east,nvc,no,,spatial,,4681
participant_106,south_east,north-west,no,,spatial,,18229
participant_106,south_west,south-west,no,,spatial,,34890
participant_106,east_north-west,nvc,no,,spatial,,19114
participant_106,south_north,south-east,no,,spatial,,3201
participant_106,north-east_south-east,north-west,no,,spatial,,3392
participant_106,north_north-west,north-east,no,,spatial,,68178
participant_106,west_south,north-east,no,,spatial,,7800
participant_106,north-east_south-west,nvc,no,,spatial,,12857
participant_106,east_north-east,south-west,no,,spatial,,12545
participant_106,south-west_north,north-east,no,,spatial,,2766
participant_106,north-west_north-west,south-east,no,,spatial,,5013
participant_106,south-west_west,south-east,no,,spatial,,3969
participant_106,south-east_east,north-west,no,,spatial,,12526
participant_109,north-east_north-east,north-east,no,,spatial,,1091
participant_109,west_east,north-west,no,,spatial,,1708
participant_109,south-west_south,south-west,no,,spatial,,1001
participant_109,west_west,north-east,no,,spatial,,1279
participant_109,north-west_north-west,south-west,no,,spatial,,775
participant_109,north-west_north-east,north-east,no,,spatial,,2961
participant_109,north_north-west,south-east,no,,spatial,,919
participant_109,north-west_south-east,north-east,no,,spatial,,1536
participant_109,west_north,south-east,no,,spatial,,969
participant_109,north_south-west,south-west,no,,spatial,,1164
participant_109,east_north-east,north-east,no,,spatial,,1177
participant_109,north-west_south-west,south-east,no,,spatial,,981
participant_109,south_north,north-west,no,,spatial,,1193
participant_109,south_south,north-west,no,,spatial,,955
participant_109,south-west_west,north-west,no,,spatial,,967
participant_109,south-east_north,south-west,no,,spatial,,1031
participant_109,north-east_north-west,north-west,no,,spatial,,1763
participant_109,south-west_east,south-west,no,,spatial,,709
participant_109,south_east,nvc,no,,spatial,,2599
participant_109,north-east_south-west,south-west,no,,spatial,,968
participant_109,south-west_north,north-west,no,,spatial,,2054
participant_109,east_south-east,south-west,no,,spatial,,2139
participant_109,east_north-west,nvc,no,,spatial,,1215
participant_109,south_west,north-east,no,,spatial,,1377
participant_109,south-east_east,north-east,no,,spatial,,2915
participant_109,south-east_south,north-west,no,,spatial,,1418
participant_109,east_south-west,south-east,no,,spatial,,751
participant_109,north_south-east,north-west,no,,spatial,,884
participant_109,south-east_west,south-west,no,,spatial,,812
participant_109,west_south,north-west,no,,spatial,,1996
participant_109,north-east_south-east,north-west,no,,spatial,,1654
participant_109,north_north-east,south-west,no,,spatial,,1205
participant_11,north-east_north-west,south,no,,spatial,,25516
participant_11,east_south-west,nvc,no,,spatial,,41777
participant_11,south-east_east,south,no,,spatial,,30161
participant_11,north_north-east,nvc,no,,spatial,,46697
participant_11,south-east_north,west,no,,spatial,,44797
participant_11,north-west_north-east,south-east,no,,spatial,,34687
participant_11,south_east,north-east,no,,spatial,,29425
participant_11,south_south,north,no,,spatial,,29908
participant_11,west_north,south-east,no,,spatial,,29054
participant_11,north-west_south-east,nvc,no,,spatial,,46216
participant_11,north-west_north-west,south-east,no,,spatial,,28194
participant_11,south-east_south,nvc,no,,spatial,,43174
participant_11,north-east_north-east,south-west,no,,spatial,,44314
participant_11,south_north,nvc,no,,spatial,,19676
participant_11,north_south-west,east,no,,spatial,,38473
participant_11,north-east_south-east,west,no,,spatial,,32428
participant_11,north_south-east,east,no,,spatial,,33008
participant_11,south-west_west,nvc,no,,spatial,,52141
participant_11,west_east,nvc,no,,spatial,,49774
participant_11,south-west_east,south,no,,spatial,,64854
participant_11,east_north-east,nvc,no,,spatial,,67709
participant_11,south_west,north-east,no,,spatial,,82839
participant_11,south-east_west,north,no,,spatial,,73444
participant_11,north-east_south-west,south-west,no,,spatial,,76684
participant_11,south-west_north,east,no,,spatial,,29868
participant_11,north_north-west,nvc,no,,spatial,,39933
participant_11,west_south,north-east,no,,spatial,,53312
participant_11,south-west_south,nvc,no,,spatial,,27403
participant_11,north-west_south-west,east,no,,spatial,,34630
participant_11,west_west,east,no,,spatial,,62452
participant_11,east_north-west,south,no,,spatial,,26417
participant_11,east_south-east,west,no,,spatial,,93074
participant_110,south-east_west,nvc,no,,spatial,,1912
participant_110,south-west_south,nvc,no,,spatial,,1750
participant_110,south-east_north,nvc,no,,spatial,,1514
participant_110,north-east_north-east,nvc,no,,spatial,,1492
participant_110,east_north-east,nvc,no,,spatial,,1580
participant_110,west_north,nvc,no,,spatial,,129282
participant_110,north-west_south-west,nvc,no,,spatial,,33944
participant_110,west_west,nvc,no,,spatial,,2794
participant_110,east_north-west,nvc,no,,spatial,,12984
participant_110,north_south-east,nvc,no,,spatial,,7571
participant_110,east_south-east,nvc,no,,spatial,,2109
participant_110,north-west_south-east,nvc,no,,spatial,,1848
participant_110,south_west,nvc,no,,spatial,,1923
participant_110,north-east_south-east,nvc,no,,spatial,,8053
participant_110,south-west_east,nvc,no,,spatial,,1794
participant_110,south_south,nvc,no,,spatial,,3724
participant_110,south-east_south,nvc,no,,spatial,,1772
participant_110,north-west_north-west,nvc,no,,spatial,,13265
participant_110,north_north-west,nvc,no,,spatial,,2577
participant_110,south-west_north,nvc,no,,spatial,,8029
participant_110,south-west_west,nvc,no,,spatial,,2835
participant_110,south_north,nvc,no,,spatial,,14171
participant_110,west_south,nvc,no,,spatial,,2928
participant_110,south-east_east,nvc,no,,spatial,,2476
participant_110,north-east_north-west,nvc,no,,spatial,,1490
participant_110,north-east_south-west,nvc,no,,spatial,,3087
participant_110,north_north-east,nvc,no,,spatial,,27172
participant_110,north-west_north-east,nvc,no,,spatial,,2847
participant_110,west_east,nvc,no,,spatial,,10884
participant_110,south_east,nvc,no,,spatial,,2301
participant_110,north_south-west,nvc,no,,spatial,,3454
participant_110,east_south-west,nvc,no,,spatial,,2020
participant_111,north_south-east,south-west,no,,verbal,,18344
participant_111,west_south,north-east,no,,verbal,,30485
participant_111,north_south-west,south-east,no,,verbal,,13665
participant_111,south_east,north-west,no,,verbal,,12236
participant_111,north-east_south-east,south-west,no,,verbal,,16028
participant_111,north-east_north-west,south-east,no,,verbal,,16448
participant_111,north-east_south-west,south-east,no,,verbal,,17231
participant_111,north_north-east,south-west,no,,verbal,,11950
participant_111,north-west_south-east,south-east,no,,verbal,,14617
participant_111,east_south-west,north-west,no,,verbal,,13884
participant_111,south_north,south,no,,verbal,,19497
participant_111,south-west_west,east,no,,verbal,,15374
participant_111,south_west,north-east,no,,verbal,,13318
participant_111,south-east_east,north-west,no,,verbal,,17098
participant_111,north_north-west,south-east,no,,verbal,,14767
participant_111,south-east_north,north-west,no,,verbal,,14158
participant_111,south-east_south,north-east,no,,verbal,,17723
participant_111,south_south,north,no,,verbal,,14576
participant_111,east_south-east,south-west,no,,verbal,,16993
participant_111,south-west_east,north-west,no,,verbal,,24656
participant_111,south-west_north,south-east,no,,verbal,,22136
participant_111,west_east,west,no,,verbal,,42605
participant_111,west_west,east,no,,verbal,,35773
participant_111,east_north-east,south-west,no,,verbal,,16826
participant_111,north-west_north-west,south-east,no,,verbal,,15202
participant_111,east_north-west,north-east,no,,verbal,,14963
participant_111,north-west_south-west,south-east,no,,verbal,,22185
participant_111,south-east_west,north-west,no,,verbal,,25687
participant_111,north-west_north-east,south-west,no,,verbal,,12001
participant_111,west_north,south-west,no,,verbal,,17466
participant_111,south-west_south,north-east,no,,verbal,,13018
participant_111,north-east_north-east,south-east,no,,verbal,,12238
participant_112,north-east_north-east,north-east,no,,verbal,,4913
participant_112,south-east_south,south-east,no,,verbal,,13812
participant_112,east_south-east,east,no,,verbal,,4355
participant_112,south_south,south,no,,verbal,,6794
participant_112,south-east_west,south-east,no,,verbal,,6639
participant_112,south-east_north,south-east,no,,verbal,,4352
participant_112,south_west,south,no,,verbal,,14870
participant_112,north-east_north-west,north-east,no,,verbal,,3591
participant_112,south-west_north,south-west,no,,verbal,,2275
participant_112,south_east,south,no,,verbal,,6053
participant_112,north_north-east,north,no,,verbal,,6902
participant_112,east_south-west,east,no,,verbal,,4629
participant_112,south_north,south,no,,verbal,,4733
participant_112,south-west_south,south-west,no,,verbal,,3935
participant_112,west_west,west,no,,verbal,,6731
participant_112,north-west_south-east,north-west,no,,verbal,,8830
participant_112,west_south,west,no,,verbal,,11145
participant_112,north_south-east,north-east,no,,verbal,,1998
participant_112,north_south-west,south-west,no,,verbal,,16003
participant_112,north_north-west,north-west,no,,verbal,,8699
participant_112,north-east_south-west,south-west,no,,verbal,,4393
participant_112,north-west_north-east,north-east,no,,verbal,,11485
participant_112,south-west_east,west,no,,verbal,,45274
participant_112,south-east_east,south-east,no,,verbal,,9647
participant_112,east_north-east,north-east,no,,verbal,,34058
participant_112,west_east,west,no,,verbal,,29293
participant_112,east_north-west,east,no,,verbal,,14373
participant_112,south-west_west,south-west,no,,verbal,,11308
participant_112,west_north,west,no,,verbal,,17488
participant_112,north-west_north-west,north-west,no,,verbal,,6684
participant_112,north-east_south-east,north-east,no,,verbal,,4873
participant_112,north-west_south-west,north-east,no,,verbal,,6321
participant_113,west_east,east,no,,verbal,,23232
participant_113,north_north-east,south,no,,verbal,,24428
participant_113,north_south-east,south-west,no,,verbal,,25390
participant_113,north-west_north-east,south,no,,verbal,,22622
participant_113,east_south-west,north-west,no,,verbal,,29456
participant_113,west_north,south-east,no,,verbal,,26172
participant_113,north-east_south-east,west,no,,verbal,,25695
participant_113,south-east_east,north-west,no,,verbal,,39048
participant_113,south-west_east,north-west,no,,verbal,,24382
participant_113,north_south-west,south-east,no,,verbal,,24873
participant_113,north_north-west,south,no,,verbal,,25280
participant_113,east_north-west,south-west,no,,verbal,,25757
participant_113,north-east_north-west,south,no,,verbal,,25724
participant_113,south-west_south,north-east,no,,verbal,,25887
participant_113,north-east_south-west,south,no,,verbal,,27992
participant_113,south_east,north-west,no,,verbal,,24333
participant_113,south-west_west,north-east,no,,verbal,,22986
participant_113,east_south-east,north-west,no,,verbal,,117517
participant_113,south_south,north,no,,verbal,,49216
participant_113,north-west_north-west,south-east,no,,verbal,,28616
participant_113,east_north-east,south-west,no,,verbal,,23801
participant_113,south-west_north,north-east,no,,verbal,,37352
participant_113,south-east_south,north-west,no,,verbal,,23697
participant_113,north-east_north-east,south-west,no,,verbal,,54055
participant_113,south_west,north-west,no,,verbal,,21964
participant_113,north-west_south-west,north-east,no,,verbal,,108642
participant_113,north-west_south-east,south-east,no,,verbal,,158616
participant_113,south-east_west,north-east,no,,verbal,,56958
participant_113,south-east_north,north-west,no,,verbal,,107178
participant_113,west_south,north-east,no,,verbal,,39610
participant_113,west_west,east,no,,verbal,,43595
participant_113,south_north,north,no,,verbal,,22788
participant_12,south_east,north-west,no,,spatial,,38262
participant_12,west_west,east,no,,spatial,,53609
participant_12,east_north-east,south-west,no,,spatial,,34295
