id,rt,response,solution,correct,correct_subset,difference,jacc,only_p,biconditional,all_cards
participant_74,116190,"[""8""]","[""Blue"", ""8""]",False,True,"[""Blue""]",0.5,True,False,False
participant_75,90233,"[""5"", ""Blue"", ""Green"", ""8""]","[""Blue"", ""8""]",False,False,"[""5"", ""Green""]",0.5,False,False,True
participant_76,77380,"[""5"", ""8""]","[""Blue"", ""8""]",False,False,"[""5"", ""Blue""]",0.3333333333333333,False,False,False
participant_77,41505,"[""8""]","[""Blue"", ""8""]",False,True,"[""Blue""]",0.5,True,False,False
participant_78,29251,"[""Green"", ""8""]","[""Blue"", ""8""]",False,False,"[""Blue"", ""Green""]",0.3333333333333333,False,True,False
participant_79,37112,"[""Green"", ""8""]","[""Blue"", ""8""]",False,False,"[""Blue"", ""Green""]",0.3333333333333333,False,True,False
participant_8,52387,"[""5"", ""Blue"", ""8""]","[""Blue"", ""8""]",False,False,"[""5""]",0.6666666666666666,False,False,False
participant_80,88971,"[""5""]","[""Blue"", ""8""]",False,False,"[""5"", ""Blue"", ""8""]",0.0,False,False,False
participant_81,81024,"[""8""]","[""Blue"", ""8""]",False,True,"[""Blue""]",0.5,True,False,False
participant_83,31066,"[""Green"", ""8""]","[""Blue"", ""8""]",False,False,"[""Blue"", ""Green""]",0.3333333333333333,False,True,False
participant_84,31096,"[""Green"", ""8""]","[""Blue"", ""8""]",False,False,"[""Blue"", ""Green""]",0.3333333333333333,False,True,False
participant_85,28110,"[""Green"", ""8""]","[""Blue"", ""8""]",False,False,"[""Blue"", ""Green""]",0.3333333333333333,False,True,False
participant_86,30948,"[""8""]","[""Blue"", ""8""]",False,True,"[""Blue""]",0.5,True,False,False
participant_87,794881,"[""Green"", ""8""]","[""Blue"", ""8""]",False,False,"[""Blue"", ""Green""]",0.3333333333333333,False,True,False
participant_88,92259,"[""5"", ""Green""]","[""Blue"", ""8""]",False,False,"[""5"", ""Blue"", ""Green"", ""8""]",0.0,False,False,False
participant_89,61242,"[""Blue""]","[""Blue"", ""8""]",False,True,"[""8""]",0.5,False,False,False
participant_9,142503,"[""5"", ""Blue"", ""8""]","[""Blue"", ""8""]",False,False,"[""5""]",0.6666666666666666,False,False,False
participant_90,92544,"[""Green"", ""8""]","[""Blue"", ""8""]",False,False,"[""Blue"", ""Green""]",0.3333333333333333,False,True,False
participant_91,50654,"[""Green""]","[""Blue"", ""8""]",False,False,"[""Blue"", ""Green"", ""8""]",0.0,False,False,False
participant_92,151620,"[""5""]","[""Blue"", ""8""]",False,False,"[""5"", ""Blue"", ""8""]",0.0,False,False,False
participant_94,46365,"[""8""]","[""Blue"", ""8""]",False,True,"[""Blue""]",0.5,True,False,False
participant_95,29717,"[""Green"", ""8""]","[""Blue"", ""8""]",False,False,"[""Blue"", ""Green""]",0.3333333333333333,False,True,False
participant_96,93325,"[""8""]","[""Blue"", ""8""]",False,True,"[""Blue""]",0.5,True,False,False
participant_98,67092,"[""8""]","[""Blue"", ""8""]",False,True,"[""Blue""]",0.5,True,False,False
participant_99,155719,"[""Green""]","[""Blue"", ""8""]",False,False,"[""Blue"", ""Green"", ""8""]",0.0,False,False,False
